"삼성전자 NT550P7C 17.3인치 대화면 3세대i5 램16G SSD 256G 윈도우10 완벽 가성비노트북, 16GB, SSD 256GB",399000.0,(1),https://www.coupang.com/vp/products/4361337207?itemId=5129446804&vendorItemId=72438867720
"LG전자 2020년 울트라PC 노트북 13UD50N-GX50K (i5-10210U 33.7cm), NVMe 256GB, 8GB, Free DOS",759940.0,(5),https://www.coupang.com/vp/products/1602724232?itemId=2737453914&vendorItemId=70727525471
"LG전자 2019 그램15 노트북 15ZD990-LX10K (팬티엄 5405U 39.6cm), SSD 128GB, 4GB, Free DOS",999000.0,(18),https://www.coupang.com/vp/products/298202794?itemId=939058781&vendorItemId=5324099851
"LG전자 울트라 PC 노트북 17U790-GA36K (i3-8145U 43.1cm), SSD 128GB, 8GB, WIN10 Home",1036670.0,(9),https://www.coupang.com/vp/products/344981488?itemId=1072862209&vendorItemId=5628801009
"삼성전자 노트북7 Force NT760XBV-G58A (i5-8265U 39.6cm GTX1650), NVMe 256GB, 8GB, Linux",1269000.0,(60),https://www.coupang.com/vp/products/242636932?itemId=2098714469&vendorItemId=70097614784
"레노버 노트북 Black ThinkPad E14-20T6S04X00(라이젠5-4500U 35.56cm), 미포함, NVMe 256GB, 8GB",629000.0,(2),https://www.coupang.com/vp/products/2111959220?itemId=3587435759&vendorItemId=71573227488
"HP 프로 노트북 455 G7-3E758AV (라이젠3-4300U 39.6cm WIN10 Home), 포함, NVMe 128GB, 8GB",659000.0,(1),https://www.coupang.com/vp/products/2284615156?itemId=3926643477&vendorItemId=71911163117
"에이수스 노트북 블랙 S533FL-BQ503 (i5-10210U 39.62cm MX250), 미포함, 512GB SSD, 8GB",798980.0,(7),https://www.coupang.com/vp/products/1690262453?itemId=2878463185&vendorItemId=70867591363
"삼성전자 갤럭시북 S Wi-Fi 노트북 얼씨 골드 NT767XCM-K38 (i3-L13G4 33.7cm WIN10 Home), 포함, eUFS 256GB, 8GB",1097000.0,(4),https://www.coupang.com/vp/products/2159114460?itemId=3667662413&vendorItemId=71653071450
"LG전자 울트라PC 13U50N-GR56K (i5-10210U 33.7cm WIN10 UHD graphics), 포함, SSD 256GB, 8GB",859000.0,(9),https://www.coupang.com/vp/products/1383141072?itemId=2417655164&vendorItemId=70411889853
