한양대학교 ERICA SW중심대학사업단 SW교육전담교수 채용,20.12.07 ~ 20.12.31
마산대학교 교수 초빙,20.12.07 ~ 20.12.31
서울사이버대학교 전임교원 초빙,20.12.07 ~ 20.12.31
을지대학교 전임교원 초빙,20.12.07 ~ 20.12.31
기초과학연구원 다차원탄소재료연구단 Post-Doc. 및 선임연구원 채용,20.12.07 ~ 20.12.31
대구경북첨단의료산업진흥재단 신약개발지원센터장 후보자 모집,20.12.07 ~ 20.12.31
창원문성대학교 교수 및 강사 초빙,20.12.07 ~ 20.12.31
구미전자정보기술원 원장 초빙,20.12.07 ~ 20.12.31
KDI국제정책대학원 전임교원 초빙,20.12.07 ~ 20.12.31
HK inno.N(舊CJ헬스케어) BIO 연구원 모집 ,20.12.07 ~ 20.12.31
서울과학기술대학교 전기정보기술연구소 전문연구요원(병역특례) 채용,20.12.07 ~ 20.12.31
호남대학교 전임교원 초빙,20.12.07 ~ 20.12.31
한신대학교 교수 초빙,20.12.07 ~ 20.12.31
한국침례신학대학교 전임교원 초빙,20.12.07 ~ 20.12.31
협성대학교 신규 교원 초빙,20.12.07 ~ 20.12.31
KAIST 의과학대학원 차세대 의과학자 펠로우쉽 모집,20.12.07 ~ 20.12.31
원광대학교 2021학년도 1학기 교수 초빙,20.12.07 ~ 20.12.31
경북IT융합산업기술원 연구원 채용,20.12.07 ~ 20.12.31
큐리오칩스 연구개발 R&D Scientist / 연구원 채용,20.12.07 ~ 20.12.31
큐리오칩스 바이오 신입/경력 연구원 채용,20.12.07 ~ 20.12.31
한국복지대학교 교수 초빙,20.12.07 ~ 20.12.31
대원대학교 전임교원 초빙,20.12.07 ~ 20.12.31
삼육대학교 교수 초빙,20.12.07 ~ 20.12.31
2020년도 과학기술분야 정부출연 연구기관 공동 온라인 국내채용설명회 ,20.12.07 ~ 20.12.31
인하대학교 제조혁신전문대학원 전임교원 초빙,20.12.07 ~ 20.12.31
숭실사이버대학교 강사 초빙,20.12.07 ~ 20.12.31
경기대학교 전임교원 초빙,20.12.07 ~ 20.12.31
성신여자대학교 2021학년도 전기 3차 교수 초빙,20.12.07 ~ 20.12.31
광주대학교 교수 초빙 ,20.12.07 ~ 20.12.31
충남테크노파크 직속부서장(바이오센터장) 채용,20.12.07 ~ 20.12.31
