"
모공
역시 유상철 감독은 강한 남자군요.
",https://www.clien.net/service/board/park/15731492?type=recommend,"작년 11월 췌장암 4기 판정을 받았을때
많은 사람들이 절망했지만 이후로
그는 꾸준한 항암치료를 받아왔고
그 결과 암세포가 거의 사라졌다는
소견을 받았다고 합니다.한국 축구를 이끌던 그 답게 역시
그는 병을 이겨내는 모습을 보여주며
비슷한 처지의 사람들에게 살아갈
힘과 용기를 주고 있습니다.예후가 안 좋기로 유명한 췌장암을
극복할 정도면 뭐라도 할 수 있습니다.
부디 완전히 병을 이겨내고 그라운드에서
선수들을 이끄는 모습을 보여주길 기대합니다.
"
"
모공
아버지가 제게 “너도 문빠냐?”’라고 소리를 지르시길래
",https://www.clien.net/service/board/park/15732135?type=recommend,"아버지랑 조금 전에 통화하는데, 이재용이 상속세가 많다... 종부세가 계속 오른다...라고 하시길래, “아버지는 종부세 대상도 아닌데, 왜 그 걱정을 하며, 이재용은 그 상속세 내도 상속으로만 남는 돈이 상속세만큼 남아요. 이재용은 그 돈 내도 지금보다 더 잘 살아요”라고 했더니...대뜸 “너도 문빠냐?”라고 소리를 지르시더라구요. 화가 나서, “아버지는 박사모에 태극기 할배예요? 제발 티비 조선 좀 그만 보세요”라고 냅다 지르고 전화를 끊어버렸습니다. 화도 나고, 안타깝기도 하고 그러네요. 
"
"
모공
김용민 PD 코로나 확진되었네요
",https://www.clien.net/service/board/park/15732092?type=recommend,"
쾌유를 빕니다.
"
"
모공
김진애, 내일 서울시장 출마선언..의원직 사퇴 시 김의겸 승계
",https://www.clien.net/service/board/park/15732025?type=recommend,"열린민주당 김진애 의원이 내년 4월 서울시장 보궐선거에 출마하겠다고 밝혔습니다.
김 의원은 내일 국회에서 기자회견을 갖고 ""도시전문가로서의 강점을 내세워 포스트코로나 시대의 삶터와 일터, 쉼터를 아우르는 주거 및 도시정책을 추진하겠다""는 내용의 출마선언에 나설 예정입니다.
김 의원이 열린민주당 서울시장 후보가 돼 의원직에서 사퇴할 경우, 비례대표 4번인 김의겸 전 청와대 대변인이 의원직을 승계하게 됩니다.
""찐 도시전문가 / 건축전문가"" 김진애 의원께서 내일 서울시장 출마 선언하려나 봅니다!!
"
"
모공
안경) 한국의 속도에 놀라는 외국인들.jpg
",https://www.clien.net/service/board/park/15731661?type=recommend,"https://community.v.daum.net/v/ALA4DlQpyU
그리고 생각해보면 안경은 예전엔 비쌌는데 다른 물가에 비해 많이 안오른 것 같아요.."
"
모공
펌) 누나는 애엄마가 됬어도 누나..jpg
",https://www.clien.net/service/board/park/15731545?type=recommend,"
ㅋㅋㅋ
"
"
모공
정교수건 압색후 증거능력부여위해 5공때 판례를 적용
",https://www.clien.net/service/board/park/15731529?type=recommend,"기소이후에 압색으로 얻은 증거는 증거능력이 없는데 증거능력을 
부여하기 위해 무려  5공화국 때인 1982년 민학련 대법원 판례를 적용했네요 ㄷ
https://www.ddanzi.com/free/659324027
 
"
"
새소식
루머 : 갤럭시S21/S21+ 사양
",https://www.clien.net/service/board/news/15731696?type=recommend,"
갤럭시S21과 S21+의 전체 사양이 유출되었습니다.Winfuture는 두 제품의 전체 사양을 게재했습니다. 여기에 따르면 두 제품은 거의 흡사한 디자인과 많은 사양을 공유하고 있습니다.-공통사양-
엑시노스2100 (유럽 출시판 기준)
8GB RAM
128Gb/256GB 스토리지
1200만화소 메인카메라 (1/1.76인치, 환산 26mm)
6400만화소 망원카메라 (1/1.76인치, 환산 28mm, 하이브리드 3배줌)
1200만화소 초광각카메라 (1/2.55인치, 환산 13mm)
1000만화소 전면카메라 (1/3.2인치, 환산 25mm)
8K/30fps 영상 촬영-갤럭시S21-
6.2인치 1080x2400 AMOLED (120Hz, 1300니트 밝기, 고릴라글래스 빅터스)
4000mAh 배터리
151.7 x 71.2 x 7.9mm
171g 무게-갤럭시S21 플러스-
6.7인치 1080x2400 AMOLED (120Hz, 1300니트 밝기, 고릴라글래스 빅터스)
UWB
4800mAh 배터리
161.4 x 75.6 x 7.8mm
202g 무게두 제품 모두 5G 버전으로만 출시되며, 가격은 아래와 같습니다.S21 128GB : €849
S21 256GB : €899
S21+ 128GB : €1049
S21+ 256GB : €1099"
"
모공
추장관 후임에 거론되는 4명
",https://www.clien.net/service/board/park/15731434?type=recommend,"무조건 추장관 만큼 강력한 분을 모셔야
거대한 적폐들과 추장관 기조대로 싸울수 있겠죠. 이번 사법쿠테타가 국민들에게 부정적인 것만은 아닙니다. 입법, 행정을 국민들이 선출해줘도 적폐들의 반항이 강력하고 정신바짝 차려서 정권연장을 반드시
해야한다는 것을 뼈저리게 일깨워 준 플러스 요인도 있다고 생각합니다.
 
저는 윤호중의원과 박범계의원 순으로 생각합니다. 선거로 검증된 정치인이 아무래도 저들의 공작에 자유롭겠죠.
당장 윤짜장과 판새들이 득의양양할 수도 있습니다 문통의 사과까지 있었으니까요
이제 2라운드 시작해야죠. 새법무장관 임명과 함께 추가된 공수처라는 강력한 무기로 저들과 다시 개혁을 위해 2라운드 시작해야죠. 국민들이 강력히 밀어줘야 할 시점이네요 국민청원 부터 촛불까지 모든 방법을 동원해서  명분과 지지율을 지켜야 할 것 같습니다
 
추미애 후임 하마평 들썩..'정치력·추진력·장악력' 與 현역 거론.
文정부 마지막 법무부 장관
""秋보다 더 센 사람으로 가야""
박범계·윤호중·소병철 거론
非검찰 장관 기조 유지도 관건
 
https://news.v.daum.net/v/20201217171617411
"
"
모공
(후방) 체대생 몸매인증.jpg
",https://www.clien.net/service/board/park/15731808?type=recommend,"어우야....
"
